Time RSSI
0:01 -62
0:02 -65
0:03 -62
0:04 -66
0:05 -62
0:06 -66
0:07 0
0:08 0
0:09 0
0:10 0
0:11 0
0:12 0
0:13 0
0:14 0
0:15 0
0:16 0
0:17 0
0:18 0
0:19 0
0:20 0
0:21 0
0:22 0
0:23 0
0:24 0
0:25 0
0:26 0
0:27 0
0:28 0
0:29 0
0:30 0
0:31 0
0:32 0
0:33 0
0:34 0
0:35 0
0:36 0
0:37 0
0:38 0
0:39 0
0:40 0
0:41 -66
0:42 0
0:43 0
0:44 0
0:45 0
0:46 -51
0:47 -51
0:48 -66
0:49 -64
0:50 -50
0:51 -65
0:52 -66
0:53 -67
0:54 0
0:55 -66
0:56 -64
0:57 -49
0:58 -66
0:59 0
1:00 0
1:01 0
1:02 -48
1:03 -67
1:04 0
1:05 -47
1:06 -62
1:07 -62
1:08 0
1:09 0
1:10 0
1:11 -63
1:12 0
1:13 -67
1:14 -67
1:15 0
1:16 0
1:17 -63
1:18 -49
1:19 -48
1:20 -50
1:21 -62
1:22 -52
1:23 0
1:24 0
1:25 -62
1:26 -55
1:27 -63
1:28 0
1:29 -65
1:30 -64
1:31 0
1:32 -67
1:33 -67
1:34 -67
1:35 0
1:36 0
1:37 0
1:38 0
1:39 0
1:40 -61
1:41 0
1:42 0
1:43 -64
1:44 0
1:45 0
1:46 0
1:47 0
1:48 0
1:49 0
1:50 0
1:51 0
1:52 -62
1:53 -62
1:54 -64
1:55 -46
1:56 0
1:57 0
1:58 0
1:59 0
2:00 0
2:01 0
2:02 0
2:03 -60
2:04 0
2:05 -61
2:06 0
2:07 -61
2:08 -73
2:09 -59
2:10 -62
2:11 -60
2:12 -62
2:13 -60
2:14 -61
2:15 -60
2:16 -60
2:17 -62
2:18 -60
2:19 -60
2:20 -62
2:21 -63
2:22 -61
2:23 -65
2:24 -63
2:25 -62
2:26 -65
2:27 -69
2:28 -65
2:29 -63
2:30 -62
2:31 -63
2:32 -63
2:33 0
2:34 -61
2:35 -65
2:36 -62
2:37 -64
2:38 0
2:39 -47
2:40 -63
2:41 0
2:42 0
2:43 0
2:44 0
2:45 -69
2:46 0
2:47 0
2:48 0
2:49 0
2:50 -63
2:51 0
2:52 0
2:53 0
2:54 -51
2:55 -61
2:56 -62
2:57 -61
2:58 -60
2:59 -69
3:00 -69
3:01 0
3:02 -68
3:03 -66
3:04 0
3:05 -51
3:06 -66
3:07 -66
3:08 -66
3:09 0
3:10 0
3:11 -50
3:12 0
3:13 -66
3:14 -67
3:15 -69
3:16 0
3:17 0
3:18 0
3:19 -63
3:20 -65
3:21 0
3:22 0
3:23 0
3:24 0
3:25 0
3:26 0
3:27 -47
3:28 -46
3:29 0
3:30 0
3:31 0
3:32 0
3:33 0
3:34 0
3:35 -47
3:36 -65
3:37 -66
3:38 0
3:39 0
3:40 -67
3:41 -64
3:42 -67
3:43 0
3:44 0
3:45 0
3:46 -62
3:47 0
3:48 0
3:49 0
3:50 -70
3:51 0
3:52 0
3:53 -63
3:54 -62
3:55 0
3:56 0
3:57 0
3:58 0
3:59 0
4:00 0
4:01 -65
4:02 -50
4:03 -65
4:04 -46
4:05 0
4:06 0
4:07 -64
4:08 -66
4:09 -67
4:10 -62
4:11 -64
4:12 -63
4:13 -65
4:14 -65
4:15 -66
4:16 -65
4:17 -63
4:18 -67
4:19 -66
4:20 -62
4:21 -66
4:22 -63
4:23 -67
4:24 0
4:25 -64
4:26 -63
4:27 -66
4:28 -64
4:29 -63
4:30 -64
4:31 -63
4:32 -61
4:33 -68
4:34 -68
4:35 -67
4:36 -61
4:37 0
4:38 0
4:39 0
4:40 0
4:41 0
4:42 0
4:43 0
4:44 0
4:45 0
4:46 0
4:47 0
4:48 0
4:49 0
4:50 0
4:51 -63
4:52 -62
4:53 -63
4:54 -47
4:55 -49
4:56 0
4:57 -49
4:58 0
4:59 -50
5:00 0
5:01 -48
5:02 -48
5:03 -48
5:04 -44
5:05 -60
5:06 -65
5:07 -59
5:08 -60
5:09 -59
5:10 -65
5:11 -66
5:12 0
5:13 -45
5:14 -61
5:15 -68
5:16 -65
5:17 -65
5:18 -62
5:19 -50
5:20 -46
5:21 -62
5:22 -65
5:23 -51
5:24 -46
5:25 0
5:26 0
5:27 -51
5:28 0
5:29 -50
5:30 -42
5:31 -48
5:32 -74
5:33 0
5:34 -67
5:35 -65
5:36 -67
5:37 -68
5:38 0
5:39 0
5:40 -51
5:41 -50
5:42 -51
5:43 -51
5:44 0
5:45 -50
5:46 -50
5:47 -51
5:48 -50
5:49 -51
5:50 -64
5:51 -67
5:52 0
5:53 0
5:54 -52
5:55 -61
5:56 0
5:57 0
5:58 0
5:59 -44
6:00 -53
6:01 0
6:02 -70
6:03 -68
6:04 0
6:05 0
6:06 -60
6:07 -65
6:08 -60
6:09 -66
6:10 -66
6:11 -62
6:12 -59
6:13 -70
6:14 -73
6:15 -69
6:16 0
6:17 -62
6:18 -70
